,outerBrowRaiser,browLowerer,upperLidRaiser,cheekRaiser,lidTightener,NoseWrinkler,lipCornerPuller,dimpler,lipCornerDeppresser,lowerLipDeppresser,lipStretcher,lipTightener,jawDrop,emotions
0,19.25,16.0,17.0,97.5,17.0,70.5,78,1,23.0,30.33,30.33,78,71,Anger
1,20.0,18.17,15.0,90.0,15.0,67.0,84,0,23.0,19.67,19.67,84,69,Anger
2,20.75,23.83,8.5,92.5,8.5,67.5,81,1,29.5,35.0,35.0,81,86,Anger
3,26.75,17.83,19.5,117.0,19.5,90.0,93,0,10.0,6.67,6.67,93,63,Anger
4,22.25,17.5,15.0,83.5,15.0,68.5,73,1,35.5,30.67,30.67,73,66,Anger
5,31.0,22.83,16.75,90.5,16.75,76.0,91,1,29.0,24.33,24.33,91,64,Anger
6,24.5,34.33,15.5,85.5,15.5,47.0,71,1,6.5,25.33,25.33,71,95,Anger
7,21.0,21.5,15.5,97.0,15.5,68.5,79,2,24.0,27.33,27.33,79,80,Anger
8,14.5,9.0,10.25,91.5,10.25,60.5,78,1,26.0,30.33,30.33,78,86,Anger
0,26.0,27.67,16.25,87.0,16.25,63.0,83,6,15.5,22.0,22.0,83,80,Contempt
1,29.0,27.5,13.75,77.0,13.75,60.5,86,6,27.0,21.67,21.67,86,71,Contempt
2,21.0,24.67,16.0,93.0,16.0,70.5,79,8,22.5,25.0,25.0,79,75,Contempt
3,35.75,26.0,17.25,85.0,17.25,78.5,109,10,39.0,24.67,24.67,109,68,Contempt
4,26.0,34.67,7.25,82.0,7.25,52.5,77,0,5.5,15.0,15.0,77,86,Contempt
5,23.75,23.5,11.0,79.5,11.0,64.5,93,3,30.0,25.33,25.33,93,87,Contempt
6,26.75,23.83,11.5,102.0,11.5,65.0,80,2,10.0,19.0,19.0,80,93,Contempt
0,26.5,27.33,15.75,85.0,15.75,64.0,88,0,27.0,31.33,31.33,88,83,Disgust
1,32.75,30.83,12.5,72.0,12.5,56.0,85,2,25.5,21.0,21.0,85,67,Disgust
2,19.75,25.0,3.75,92.0,3.75,65.5,90,2,25.5,29.33,29.33,90,91,Disgust
3,31.0,26.33,16.5,111.0,16.5,81.0,96,2,17.5,22.67,22.67,96,67,Disgust
4,23.25,12.0,9.0,75.5,9.0,70.5,90,1,32.0,18.0,18.0,90,51,Disgust
5,20.5,25.0,8.75,82.5,8.75,51.0,73,1,13.5,21.0,21.0,73,95,Disgust
6,21.0,21.5,12.75,88.5,12.75,63.5,85,1,28.5,34.67,34.67,85,84,Disgust
7,20.5,24.33,8.5,94.5,8.5,57.0,83,5,14.5,27.67,27.67,83,95,Disgust
0,25.0,28.67,18.75,90.5,18.75,62.5,72,1,16.0,29.0,29.0,72,77,Fear
1,28.75,27.83,15.25,89.5,15.25,58.0,78,5,25.0,34.67,34.67,78,89,Fear
2,24.5,34.33,15.5,85.5,15.5,47.0,71,1,6.5,25.33,25.33,71,95,Fear
3,22.75,22.5,15.5,91.0,15.5,59.0,86,2,18.5,26.67,26.67,86,90,Fear
0,27.75,24.0,11.25,83.0,11.25,65.0,114,4,38.5,34.33,34.33,114,79,Happiness
1,26.0,30.17,13.25,78.5,13.25,56.5,95,1,25.0,27.33,27.33,95,91,Happiness
2,26.0,30.5,12.5,86.0,12.5,55.0,90,4,40.5,50.33,50.33,90,91,Happiness
3,23.0,25.5,10.0,84.5,10.0,59.0,93,1,27.0,25.0,25.0,93,87,Happiness
4,21.0,24.33,9.75,79.0,9.75,57.5,97,0,36.0,34.0,34.0,97,87,Happiness
5,22.5,27.83,7.25,77.0,7.25,61.0,99,2,28.5,27.33,27.33,99,88,Happiness
6,28.75,43.17,5.5,83.5,5.5,43.0,91,1,27.0,51.67,51.67,91,102,Happiness
7,31.0,22.17,20.0,102.0,20.0,79.5,107,2,28.5,28.0,28.0,107,66,Happiness
8,18.25,25.0,13.75,75.0,13.75,61.0,85,0,40.5,41.67,41.67,85,83,Happiness
9,30.25,24.83,15.25,74.0,15.25,67.5,100,2,35.0,24.33,24.33,100,66,Happiness
10,30.75,25.0,15.5,74.5,15.5,67.0,102,3,40.5,31.0,31.0,102,74,Happiness
11,25.0,32.83,10.75,82.0,10.75,56.5,79,0,21.0,26.0,26.0,79,91,Happiness
12,26.5,39.5,6.0,90.5,6.0,52.0,78,1,17.0,28.67,28.67,78,95,Happiness
13,27.0,27.67,14.0,89.0,14.0,58.5,93,0,37.0,49.33,49.33,93,95,Happiness
14,23.0,31.67,6.5,75.0,6.5,48.0,114,2,30.5,35.0,35.0,114,97,Happiness
0,27.25,28.83,15.0,91.0,15.0,61.5,78,0,19.5,30.67,30.67,78,84,Neutral
1,23.25,25.33,12.75,95.5,12.75,62.5,81,3,21.5,27.0,27.0,81,89,Neutral
2,23.0,29.67,10.75,91.5,10.75,62.0,81,3,16.0,29.0,29.0,81,92,Neutral
3,27.25,20.67,17.75,106.0,17.75,78.0,94,2,20.0,24.0,24.0,94,70,Neutral
4,20.5,25.67,14.75,94.0,14.75,66.0,72,0,26.5,35.67,35.67,72,77,Neutral
5,26.25,32.33,12.0,86.0,12.0,56.0,71,0,10.5,19.0,19.0,71,89,Neutral
6,25.75,25.0,14.0,89.0,14.0,63.0,79,0,21.5,25.67,25.67,79,87,Neutral
7,21.5,29.83,9.75,82.0,9.75,48.5,88,2,15.5,27.67,27.67,88,98,Neutral
0,26.25,29.67,15.5,94.0,15.5,64.0,77,2,9.5,22.67,22.67,77,82,Sadness
1,24.75,23.0,14.75,102.5,14.75,75.5,99,5,18.5,19.0,19.0,99,75,Sadness
2,22.75,31.0,5.75,93.0,5.75,66.5,82,2,15.0,26.33,26.33,82,84,Sadness
3,31.0,26.33,16.5,111.0,16.5,81.0,96,2,17.5,22.67,22.67,96,67,Sadness
4,23.5,22.83,15.75,95.5,15.75,75.0,77,1,25.5,29.0,29.0,77,65,Sadness
5,21.5,22.67,11.25,92.5,11.25,63.5,73,1,13.0,22.0,22.0,73,78,Sadness
6,22.5,32.17,6.75,89.0,6.75,53.0,83,0,13.0,26.0,26.0,83,97,Sadness
0,25.25,26.83,17.5,95.5,17.5,61.5,72,1,25.0,38.33,38.33,72,85,Surprise
1,29.75,32.17,14.75,82.5,14.75,57.5,75,1,22.5,23.0,23.0,75,80,Surprise
2,31.5,19.33,22.5,104.5,22.5,80.5,86,1,18.5,20.0,20.0,86,64,Surprise
3,21.75,20.17,16.0,83.0,16.0,69.0,84,0,44.0,43.67,43.67,84,69,Surprise
4,34.25,25.33,16.25,75.0,16.25,71.0,108,0,46.5,33.33,33.33,108,69,Surprise
5,23.75,34.0,14.25,89.0,14.25,46.0,60,0,14.0,38.0,38.0,60,99,Surprise
6,25.75,29.0,17.25,77.5,17.25,59.0,95,1,44.0,48.33,48.33,95,88,Surprise
7,34.0,37.17,16.5,83.5,16.5,49.0,70,1,30.5,45.67,45.67,70,96,Surprise
